ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E08000006,Salford,NA,233933,9719.02,NA,NA,,,,,,
E08000021,Newcastle upon Tyne,NA,280177,11343.86,NA,NA,,,,,,
E08000007,Stockport,Unitary,283275,12606.18,NA,NA,,,,,,
E08000008,Tameside,Unitary,219324,10317.14,NA,NA,,,,,,
E08000009,Trafford,NA,226578,10603.73,NA,NA,,,,,,
S12000042,Dundee City,NA,147268,5978,NA,NA,,,,,,
S12000044,North Lanarkshire,NA,337727,46991,NA,NA,,,,,,
E08000010,Wigan,Unitary,317849,18819.15,NA,NA,,,,,,
W06000009,Pembrokeshire,NA,122439,161873.87,NA,NA,,,,,,
E08000011,Knowsley,Unitary,145893,8646.93,NA,NA,,,,,,
E09000009,Ealing,Unitary,338449,5552.5,NA,NA,,,,,,
W06000010,Carmarthenshire,NA,183777,237035.46,NA,NA,,,,,,
E08000012,Liverpool,Unitary,466415,11184.35,NA,NA,,,,,,
E09000010,Enfield,Unitary,312466,8082.94,NA,NA,,,,,,
W06000011,Swansea,NA,239023,37974.42,NA,NA,,,,,,
W06000012,Neath Port Talbot,NA,139812,44125.95,NA,NA,,,,,,
E08000013,St. Helens,Unitary,175308,13638.25,NA,NA,,,,,,
E08000014,Sefton,NA,273790,15313.61,NA,NA,,,,,,
E09000014,Haringey,Unitary,254926,2958.85,NA,NA,,,,,,
W06000018,Caerphilly,NA,178806,27745.02,NA,NA,,,,,,
E08000015,Wirral,Unitary,319783,15704.94,NA,NA,,,,,,
E08000016,Barnsley,Unitary,231221,32905.31,NA,NA,,,,,,
E08000017,Doncaster,NA,302402,56799.22,NA,NA,,,,,,
E09000015,Harrow,NA,239056,5046.91,NA,NA,,,,,,
E08000018,Rotherham,NA,257280,28653.77,NA,NA,,,,,,
